"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body","Screen","Reason","Comment","Screen.Name"
"XLE9CETS","journalArticle",2021,"Luo, Bo; Xu, Rong; Li, Yunchun; Zhou, Wenyu; Wang, Weiwei; Gao, Huimin; Wang, Zhen; Deng, Yingchun; Liu, Ying; Feng, Jiang","Artificial light reduces foraging opportunities in wild least horseshoe bats","ENVIRONMENTAL POLLUTION",NA,"0269-7491","10.1016/j.envpol.2021.117765",NA,"Artificial light at night has been proposed as a global threat to biodiversity. Insectivorous bats are strictly nocturnal animals that are vulnerable to disruption from artificial light. Given that many light-sensitive bats tend to avoid night light during roost departure, it is often assumed that nighttime light pollution reduces their foraging opportunities, albeit empirical evidence in support of this hypothesis remains elusive. Here, we used least horseshoe bats, Rhinolophus pusillus, to assess whether white artificial light is detrimental for the opportunities of foraging. We manipulated the levels of ambient illumination and perceived predation risk inside the bat roost. We monitored bats' emergence activity using high-speed video and audio recording systems. DNA based faecal dietary analysis and insect survey were applied to determine activity time of prey in foraging areas. Following experimentally manipulation of white light-emitting diode (LED) lighting 0-15 min after sunset, bat pass, flight duration, and echolocation pulse emission decreased. The mean emergence time of bats flying out was delayed by 14 min under lit treatment compared with the dark control. Only 10% of bats left for foraging during 40 min of light exposure. Aversive effects of LED light on bat emergence were robust regardless of the presence of a potential predator. Insect prey reached a peak of abundance between 30 and 60 min after sunset. These results demonstrate that white artificial light hinders evening emergence behavior in least horseshoe bats, leading to a mismatch between foraging onset and peak food availability. Our findings highlight that light pollution overrides foraging onset, suggesting the importance of improving artificial lighting scheme near the roosts of light-sensitive bats.","2021-11-01","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"",288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",NA,NA,NA,"Bat; Emergence; Foraging opportunity; Light pollution; Photophobic behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","Emergence time in horshoe bats, following experimental manipulation of lighting!","Insert Screener Name"
"3UR23T2Z","journalArticle",2023,"Seewagen, Chad L.; Nadeau-Gneckow, Julia; Adams, Amanda M.","Far-reaching displacement effects of artificial light at night in a North American bat community","GLOBAL ECOLOGY AND CONSERVATION",NA,"","10.1016/j.gecco.2023.e02729",NA,"Artificial light at night (ALAN) is a global pollutant that disrupts circadian rhythmicity and a broad range of physiological processes and behaviors in animals. However, ALAN sensitivity can vary greatly even among closely related species and urgently needs study for much of the world's nocturnal wildlife, including bats. While an increasing number of bat species have recently been assessed for light tolerance, the spatial extent of ALAN's influence on bats has received little attention. This information need is a barrier to the protection of bats from ALAN in land-use planning and policy, and the development of best practices that effectively buffer bat habitat from light trespass. To help address this information gap for North America, we experimentally tested the distances up to which ALAN affects presence and activity of light-averse little brown bats (Myotis lucifugus) and big brown bats (Eptesicus fuscus), and the composition of a foraging bat assemblage in Connecticut, USA. We used three residential-scale, white, LED floodlights to expose bat foraging habitat to ALAN and compared acoustic activity of bats at distances of 0, 25, 50, and 75 m from the lights between nights when the lights were on versus off. Little brown bats were present on significantly fewer light than dark nights at every distance. Lighting significantly reduced little brown bat activity overall and at the farthest location from the lights (75 m), where it was only 43% of dark-night activity despite < 1 lx of illuminance. Presence of big brown bats was not significantly affected at any distance. Big brown bat activity on light nights averaged 48-75% of dark-night activity at each distance but was significantly lower only at 0 m. As ex-pected, lighting had no effect on eastern red (Lasiurus borealis) or hoary bat (L. cinereus) presence or activity. Community composition on dark and light nights had an average dissimilarity of 38% and significantly differed at 0 m and 25 m. We conclude the type of ALAN we studied has a disturbance radius of at least 75 m for the little brown bat and up to 25 m for the big brown bat, with a resulting influence on community composition for up to 50 m. Cumulative habitat loss for the imperiled little brown bat caused by ALAN could therefore be substantial. We urge planners and natural resources regulators to consider these footprints when evaluating indirect impacts to bat habitat from current and future sources of ALAN across these species' ranges.","2023-12","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,"Artificial light at night; Bat community; Habitat loss; LED; Light pollution; Myotis lucifugus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given"," Assessed presence and activity of bats, when lights were turned on and off. Unsure if timing of activity was considered.","Insert Screener Name"
"RAI4W6YB","journalArticle",2024,"Hermans, Claire; Litovska, Iryna; de Pastors, Melyssa; Visser, Marcel E.; Spoelstra, Kamiel","Artificial light at night drives diel activity patterns of synanthropic pipistrelle bats and their prey","SCIENCE OF THE TOTAL ENVIRONMENT",NA,"0048-9697","10.1016/j.scitotenv.2024.173699",NA,"The use of artificial light at night (ALAN) has increased drastically worldwide over the last decades. ALAN can have major effects on nocturnal communities, including insects and bats. Insects are attracted to street lights and few bat species take advantage of this by foraging on the attracted insects. ALAN potentially affects the temporal patterns of insect abundance and thereby bat foraging behaviour. In a natural dark environment, these patterns are usually bimodal, with an activity peak in the early evening and the morning. Little is known about how ALAN affects insect presence throughout the night, and whether the light spectrum plays a role. This is important, as these temporal changes may be a key driver of disturbances in bat-insect interactions. Here, we studied how white and red light affect insects' and bats' nightly activity patterns. The activity of insects and bats (Pipistrellus spp.) was recorded throughout the night at seven experimentally illuminated sites in a forest-edge ecosystem. ALAN disrupted activity patterns, with both insects and bats being more active throughout the night. ALAN facilitated all-night foraging in bats especially near white light, but these effects were attenuated near red light. The ability to forage throughout the night may be a key advantage causing synanthropic bats to dominate in illuminated environments, but this could also prove detrimental in the long term. As red light reduced disturbing effects of ALAN on insects and bats diel activity pattern, it opens the possibility of using spectral composition as a mitigation measure.","2024-08-25","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"",940,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,"Bats; Foraging behaviour; Insects; Light colour; Light pollution; Prey-predator interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","Recorded bat activity patterns with experimental illumination. ","Insert Screener Name"
"JTRLFNEZ","journalArticle",2024,"Zou, Wenyu; Wu, Pan; Wei, Xinyi; Zhou, Daying; Deng, Yingchun; Jiang, Yunke; Luo, Bo; Liu, Wenqin; Huo, Jiaxin; Peng, Shichen; Feng, Jiang","Artificial light affects foraging behavior of a synanthropic bat","INTEGRATIVE ZOOLOGY",NA,"1749-4877","10.1111/1749-4877.12787",NA,"Artificial light at night has been considered an emerging threat to global biodiversity. However, the impacts of artificial light on foraging behavior in most wild animals remain largely unclear. Here, we aimed to assess whether artificial light affects foraging behavior in Asian parti-colored bats (Vespertilio sinensis). We manipulated the spectra of light-emitting diode (LED) lighting in a laboratory. Using video and audio recording, we monitored foraging onset, total foraging time, food consumption, freezing behavior (temporary cessation of body movement), and echolocation vocalizations in triads of bats under each lighting condition. Analyses showed that the foraging activities of experimental bats were reduced under LED light. Green, yellow, and red light had greater negative effects on bats' foraging onset, total foraging time, and food consumption than white and blue light. LED light of different spectra induced increased freezing time and echolocation vocalizations in captive bats, except for the white light. The peak wavelength of light emission correlated positively with freezing time, estimated echolocation pulse rate (the number of echolocation pulses per minute), and foraging onset, but negatively with total foraging time and food consumption. These results demonstrate that artificial light disturbs foraging behavior in Asian parti-colored bats. Our findings have implications for understanding the influencing mechanism of light pollution on bat foraging. We used Asian parti-colored bats as a model to explore the impacts of artificial light on foraging behavior. We found that bats reduced their foraging activity under white, blue, green, yellow, and red light. The peak wavelength of light was tightly linked to foraging activity, freezing time, and echolocation vocalizations of bats. This study expands our knowledge of the behavioral responses of bats to artificial light with different spectral compositions. image","2024-07","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"710-720",NA,"4",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"artificial light; bat; foraging; freezing; predation risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","Manipulated LED lighting, monitored foraging onset, foraging time, food consumption, freezing behaviour and echoocation vocalisations in bats under each condition.","Insert Screener Name"
"46VSSJ83","journalArticle",2022,"Mariton, Lea; Kerbiriou, Christian; Bas, Yves; Zanda, Brigitte; Le Viol, Isabelle","Even low light pollution levels affect the spatial distribution and timing of activity of a ?light tolerant? bat species","ENVIRONMENTAL POLLUTION",NA,"0269-7491","10.1016/j.envpol.2022.119267",NA,"By disrupting nocturnal landscapes worldwide, light pollution caused by Artificial Light At Night (ALAN) is recognized as a major threat to biodiversity. As even low light intensities might affect some taxa, concerns are arising about biological responses to widespread low light levels. We used data from a French citizen science bat monitoring program (1894 full-nights monitored on 1055 sites) to explore the landscape-scale effects of light on an open-space-foraging bat species, the Serotine bat (Eptesicus serotinus). We assessed this species' abundance and timing of night-time activity (median time of activity) at foraging sites. ALAN, and to a lesser extent moonlight, reduced E. serotinus abundance. ALAN delayed activity, and this delay was amplified during overcast nights. On the contrary, where there was no ALAN, the higher the cloud cover, the earlier the activity occurred. Cloud cover likely darkened the night sky in rural locations, whereas it amplified skyglow in light-polluted places, increasing ALAN effects on bats. Interestingly, moonlight also delayed activity but this effect was weakened where there was ALAN. Our study shows that even fine variations of light levels could affect the spatiotemporal distribution of a common species usually considered to be “light tolerant”, with potential cascading effects on individual fitness and population dynamics. It stresses how urgent it is to preserve and restore dark areas to protect biodiversity from light pollution while working on light intensity and directivity where ALAN is needed.","2022-07-15","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"",305,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 125 London Wall, London, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",NA,NA,NA,"Artificial light at night; Bat; Citizen science; Moonlight; Skyglow; Timing of activity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","Assessed timing of night-time activity in bats at differentially lit sites. ","Insert Screener Name"
"VJYQBTQM","journalArticle",2022,"Li, Han; Wilkins, Kenneth T.","Predator-Prey Relationship between Urban Bats and Insects Impacted by Both Artificial Light at Night and Spatial Clutter","BIOLOGY-BASEL",NA,"","10.3390/biology11060829",NA,"Simple Summary Artificial light at night provides convenience and a perception of safety for humans. However, it is an environmental pollutant to many wildlife species. We found that in the city artificial light at night attracted insects, which could be a source of food for bats. However, whether bats could use this food source depended on their ability to navigate through objects in space. We found that bats that preferred open habitats did not fully use insects attracted by artificial light at night when foraging sites were cluttered by fences, billboards, and other objects. In contrast, bats that were considered not to benefit from artificial light at night could take advantage of cluttered sites and be more active and forage more. Lastly, there were a few species absent in our study, which could be light-sensitive and not adaptive to urban environments. We suggest that limiting or reducing artificial light at night is needed to conserve bats. Predators respond to the increase of prey by aggregation in space or foraging more often. However, foraging habitat suitability limits predators' responses. For nocturnal insectivorous bats, artificial light at night (ALAN) can trigger insect prey aggregation. It is not clear how ALAN might affect predator-prey relationships in the urban setting, where urban bats could have adapted to the city, and novel spatial complexity introduced by man-made objects might alter foraging habitat suitability. We strategically selected sites to represent different levels of ALAN and spatial complexity. We recorded bat commuting and foraging activities and collected aerial insects to examine how ALAN and spatial complexity affected bat-insect relationships. We found that insect biomass was positively correlated with ALAN, but was not affected by spatial complexity. Large-sized big brown bats and hoary bats positively responded to change of prey in open sites whereas small-sized eastern red bats and silver-haired bats positively responded in cluttered sites, suggesting that the impact of ALAN could vary when ALAN is coupled with urban spatial complexity. Our study demonstrates that foraging habitat suitability can alter which species might benefit from ALAN. Predator-prey relationships in cities are complex, but general ecological principles still apply in novel urban ecosystems.","2022-06","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"6",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND Publisher: MDPI Type: Article",NA,NA,NA,"ALAN; artificial light at night; bats; foraging activity; insects; predator-prey relationships; spatial complexity; trophic dynamics; urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Focus on affect of spatial complexity of cities - so not the same data, but unclear if I could extract the numbers I need anyway. ","Insert Screener Name"
"S66RNGT5","journalArticle",2019,"Straka, Tanja M.; Wolf, Maritta; Gras, Pierre; Buchholz, Sascha; Voigt, Christian C.","Tree Cover Mediates the Effect of Artificial Light on Urban Bats","FRONTIERS IN ECOLOGY AND EVOLUTION",NA,"2296-701X","10.3389/fevo.2019.00091",NA,"With urban areas growing worldwide, so does artificial light at night (ALAN) which negatively affects many nocturnal animals, including bats. The response of bats to ALAN ranges from some opportunistic species taking advantage of insect aggregations around street lamps, particularly those emitting ultraviolet (UV) light, to others avoiding lit areas at all. Tree cover has been suggested to mitigate the negative effects of ALAN on bats by shielding areas against light scatter. Here, we investigated the effect of tree cover on the relationship between ALAN and bats in Berlin, Germany. In particular, we asked if this interaction varies with the UV light spectrum of street lamps and also across urban bat species. We expected trees next to street lamps to block ALAN, making the adjacent habitat more suitable for all species, irrespective of the wavelength spectrum of the light source. Additionally, we expected UV emitting lights next to trees to attract insects and thus, opportunistic bats. In summer 2017, we recorded bat activity at 22 green open spaces in Berlin using automated ultrasonic detectors. We analyzed bat activity patterns and landscape variables (number of street lamps with and without UV light emission, an estimate of light pollution, and tree cover density around each recording site within different spatial scales) using generalized linear mixed-effects models with a negative binomial distribution. We found a species-specific response of bats to street lamps with and without UV light, providing a more detailed picture of ALAN impacts than simply total light radiance. Moreover, we found that dense tree cover dampened the negative effect of street lamps without UV for open-space foraging bats of the genera Nyctalus, Eptesicus, and Vespertilio, yet it amplified the already existing negative or positive effect of street lamps with or without UV on Pipistrellus pipistrellus, P. pygmaeus, and Myotis spp. Our study underpins the importance of minimizing artificial light at night close to vegetation, particularly for bats adapted to spatial complexity in the environment (i.e., clutter-adapted species), and to increase dense vegetation in urban landscape to provide, besides roosting opportunities, protection against ALAN for open-space foraging bats in city landscapes.","2019-03-27","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article",NA,NA,NA,"ALAN; bats; canopy cover; chiroptera; light-emitting diodes; trees; ultraviolet light; urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Measured bat activity against light, but different measures of light and may have to add tree cover as a moderator. Unclear if timing considered, but mention 'activity patterns'.","Insert Screener Name"
"4XJZH9V7","journalArticle",2022,"Hooker, Jack; Lintott, Paul; Stone, Emma","Lighting up our waterways: Impacts of a current mitigation strategy on riparian bats","ENVIRONMENTAL POLLUTION",NA,"0269-7491","10.1016/j.envpol.2022.119552",NA,"Increasing levels of artificial light at night (ALAN) are a major threat to global biodiversity and can have negative impacts on a wide variety of organisms and their ecosystems. Nocturnal species such as bats are highly vulnerable to the detrimental effects of ALAN. A variety of lighting management strategies have been adopted to minimise the impacts of ALAN on wildlife, however relatively little is known about their effectiveness. Using an experimental approach, we provide the first evidence of negative impacts of part-night lighting (PNL) strategies on bats. Feeding activity of Myotis spp. was reduced along rivers exposed to PNL despite no reduction in overall bat activity. We also provide the first evidence of negative effects of PNL on both feeding and activity for Pipistrellus pipistrellus which has previously been recorded feeding under artificial light. Despite having considerable energy-saving benefits, we outline the potential negative impacts of PNL schemes for bats in riparian habitats. PNL are unlikely to provide desired conservation outcomes for bats, and can potentially fragment important foraging habitats leading to a breakdown of functional connectivity across the landscape. We highlight the potential dichotomy for strategies which attempt to simultaneously address climate change and biodiversity loss and recommend alternative management strategies to limit the impacts of ALAN on biodiversity.","2022-08-15","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"",NA,"",307,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND Publisher: ELSEVIER SCI LTD Type: Article",NA,NA,NA,"ALAN; Anthropogenic impacts; Bats; Biodiversity conservation; Chiroptera; Foraging; Light pollution; Urbanisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Assessed feeding activity at rivers exposed to part-night lighting. But no mention of timing. ","Insert Screener Name"
"FMXX6KGG","journalArticle",2017,"Lewanzik, Daniel; Voigt, Christian C.","Transition from conventional to light-emitting diode street lighting changes activity of urban bats","JOURNAL OF APPLIED ECOLOGY",NA,"0021-8901","10.1111/1365-2664.12758",NA,"Light pollution is rapidly increasing and can have deleterious effects on biodiversity, yet light types differ in their effect on wildlife. Among the light types used for street lamps, light-emitting diodes (LEDs) are expected to become globally predominant within the next few years. In a large-scale field experiment, we recorded bat activity at 46 street lights for 12 nights each and investigated how the widespread replacement of conventional illuminants by LEDs affects urban bats: we compared bat activity at municipal mercury vapour (MV) street lamps that were replaced by LEDs with control sites that were not changed.Pipistrellus pipistrellus was the most frequently recorded species; it was 45% less active at LEDs than at MV street lamps, but the activity did not depend on illuminance level. Light type did not affect the activity of Pipistrellus nathusii, Pipistrellus pygmaeus or bats in the Nyctalus/Eptesicus/Vespertilio (NEV) group, yet the activity of P.nathusii increased with illuminance level. Bats of the genus Myotis increased activity 45-fold at LEDs compared with MV lights, but illuminance level had no effect. Decreased activity of P.pipistrellus, which are considered light tolerant, probably paralleled insect densities around lights. Further, our results suggest that LEDs may be less repelling for light-averse Myotis spp. than MV lights. Accordingly, the transition from conventional lighting techniques to LEDs may greatly alter the anthropogenic impact of artificial light on urban bats and might eventually affect the resilience of urban bat populations.Synthesis and applications. At light-emitting diodes (LEDs), the competitive advantage - the exclusive ability to forage on insect aggregations at lights - is reduced for light-tolerant bats. Thus, the global spread of LED street lamps might lead to a more natural level of competition between light-tolerant and light-averse bats. This effect could be reinforced if the potential advantages of LEDs over conventional illuminants are applied in practice: choice of spectra with relatively little energy in the short wavelength range; reduced spillover by precisely directing light; dimming during low human activity times; and control by motion sensors. Yet, the potential benefits of LEDs could be negated if low costs foster an overall increase in artificial lighting.","2017-02","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"264-271",NA,"1",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,"artificial light at night; bats; Chiroptera; light pollution; light-emitting diode; phototaxis; pipistrellus; synanthropic; urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Decision","No reason given","Compared bat activity at street lamps - control vs replaced with LEDs. But unsure if timing of bat activity was measured.","Insert Screener Name"
"BZEQ8T8A","journalArticle",2024,"Schamhart, Titia; Browne, Clare; Borkin, Kerry M.; Ling, Nicholas; Pattemore, David E.; Tempero, Grant W.","Detection rates of long-tailed bats (<i>Chalinolobus tuberculatus</i>) decline in the presence of artificial light","NEW ZEALAND JOURNAL OF ZOOLOGY",NA,"0301-4223","10.1080/03014223.2023.2245760",NA,"Artificial light at night (ALAN) is considered a growing threat to bat species due to its potential impacts on circadian cycles, increased predation risk, and avoidance behaviour. Urban expansion and associated increases in ALAN may impact the behaviour of New Zealand's critically threatened long-tailed bat (Chalinolobus tuberculatus). To determine whether long-tailed bat behaviour was affected by ALAN, a small-scale study was conducted on the fringe of Hamilton City, New Zealand, using LED floodlights. Changes in the number of nightly detections in response to periodic illumination were measured using acoustic monitoring and compared to a nearby unlit control site. Bat detection rates were significantly lower on lit nights compared to unlit nights at the treatment site, while there was no significant difference at the control site for the same period. In addition, the median time of the first recorded bat detection was c. 2 h later during lit nights compared to unlit nights at the treatment site. These results indicate that ALAN may have a negative effect on the behaviour of long-tailed bats, potentially delaying the use of areas and excluding them from foraging habitat. Further research into the effects and potential mitigation of ALAN for long-tailed bats is required.","2024-04-02","2025-03-03 21:00:13","2025-03-03 21:00:13",NA,"200-210",NA,"2, SI",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,"Place: 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND Publisher: TAYLOR & FRANCIS LTD Type: Article",NA,NA,NA,"ALAN; bat behaviour; light pollution; Long-tailed bats; urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","Compared detection rates between a control site and an artificially illuminated site. May have measures of emergence time but not sure? Will have to check paper. Do mention median time of first detection!","Insert Screener Name"
